model_name, msg, step_size, perturb_steps, random, loss_fun, epsilon, batch_size, gpuid, model_path, Natural_ACC, Robust_ACC, Time
model2, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 0-1-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.4975999891757965 
model2, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.4975999891757965 
model2, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.4975999891757965 
model2, UseEntroDI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8301999568939209, 0.5047999620437622 
model3, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.5741999745368958 
model3, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.5741999745368958 
model3, UseEntroDI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8032999634742737, 0.5733000040054321 
model4, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8491999506950378, 0.5408999919891357 
model4, UseEntroDI, 0.01, 50, 0, Margin, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8491999506950378, 0.5407999753952026 
model4, UseEntroDI, 0.01, 50, 0, CE, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.8491999506950378, 0.5532000064849854 
model5, UseEntroDI, 0.01, 50, 0, Margin+Decaying_bias, 0.03137254901960784, 300, 2-0-3, ./models/weights/model-wideres-pgdHE-wide10.pt, 0.814300000667572, 0.5378000140190125 
